Designator,Mid X,Mid Y,Rotation,Layer
D1,40.125,-66.5,90.0,top
D2,40.125,-86.3,90.0,top
D3,40.125,-106.1,90.0,top
D4,40.125,-125.9,90.0,top
D5,40.125,-145.7,90.0,top
D6,40.125,-165.5,90.0,top
J1,40.125,-37.0,180.0,top
J2,40.125,-37.0,180.0,bottom
R4,40.125,-39.75,180.0,bottom
SW1,40.125,-45.505,180.0,bottom
U1,39.9775,-43.56,0.0,top
